Name_of_Covered_Entity	State	Individuals_Affected	Date_of_Breach	Type_of_Breach	Month	Year
Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates	NJ	839711	11/1/2013	Theft	11	2013
IHC Health Services, Inc. dba Intermountain Life Flight	UT	857	03/28/2013	Unauthorized Access/Disclosure	03	2013
UHS-Pruitt Corporation	GA	1300	09/26/2013	Theft	09	2013
Holy Cross Hospital, Inc.	FL	9900	08/14/2013	Theft, Unauthorized Access/Disclosure	08	2013
Texas Health Presbyterian Dallas Hospital	TX	949	08/22/2013	Theft	08	2013
University Urology, P.C.	TN	1144	03/7/2013	Unauthorized Access/Disclosure	03	2013
Kmart Corporation	IL	12542	03/17/2013	Theft	03	2013
North Country Hospital and Health Center, Inc	VT	550	09/18/2013	Theft	09	2013
Rite Aid #10217	RI	2082	02/1/2013	Unknown, Other	02	2013
catoctin Dental/Richard B. Love, DDS, PA	MD	6400	01/3/2013	Hacking/IT Incident	01	2013
Sarah Benjamin, DPM - Littleton Podiatry 	CO	3512	08/27/2013	Theft	08	2013
United Dynacare, LLC dba Dynacare Laboratories	WI	9328	10/22/2013	Theft	10	2013
PruittHealth Pharmacy Services	GA	841	12/6/2013	Theft	12	2013
Valley Mental Health	UT	700	02/27/2013	Theft	02	2013
RGH Enterprises, Inc.	OH	4230	03/09/2013	Theft	03	2013
ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group	IL	1290	07/9/2013	Hacking/IT Incident	07	2013
UW Medicine	WA	76183	10/2/2013	Hacking/IT Incident	10	2013
Access Counseling, LLC	IN	566	08/23/2013	Theft	08	2013
Hospice and Palliative Care Center of Alamance Caswell	NC	5370	02/24/2013	Theft, Unauthorized Access/Disclosure	02	2013
UniHealth Source	GA	4500	10/8/2013	Theft	10	2013
Hansen & Associates	WY	2700	05/21/2013	Theft	05	2013
Hankyu Chung, M.D.	CA	2182	06/17/2013	Theft	06	2013
Santa Clara Valley Medical Center	CA	579	09/14/2013 	Theft	09	2013 
Shiloh Medical Clinic	MT	1900	11/8/2013	Unauthorized Access/Disclosure	11	2013
Cornerstone Health Care, PA	NC	548	12/31/2013	Theft, Loss	12	2013
Wood County Hospital	OH	2500	03/19/2013	Theft	03	2013
UT Physicians	TX	596	07/22/2013	Theft, Loss	07	2013
Cogent Healthcare, Inc.	TN	32151	05/05/2013	Unauthorized Access/Disclosure	05	2013
Hope Community Resources, Inc.	AK	1556	08/19/2013	Unauthorized Access/Disclosure	08	2013
Myriad Genetic Laboratories, Inc.	UT	643	03/6/2013	Unauthorized Access/Disclosure	03	2013
University of Rochester Medical Center & Affiliates	NY	537	02/15/2013	Loss	02	2013
The University of Texas MD Anderson Cancer Center	TX	3598	12/2/2013	Loss	12	2013
Seton Healthcare Family	TX	5500	10/4/2013	Theft	10	2013
Health Dimensions	MI	5370	11/2/2013	Theft	11	2013
SSM St. Mary's Health Center	MO	1300	07/25/2013	Unauthorized Access/Disclosure	07	2013
North Carolina Department of Health and Human Services 	NC	48752	12/30/2013	Unauthorized Access/Disclosure	12	2013
Sports Rehabilitation Consultants	OH	1200	02/1/2013	Theft	02	2013
Samaritan Regional Health System	OH	2203	05/29/2013	Other	05	2013
Redwood Memorial Hospital	CA	1039	11/6/2013	Loss	11	2013
Utah Department of Health 	UT	6332	01/10/2013	Loss	01	2013
Flowers Hospital	AL	629	06/3/2013	Theft	06	2013
Comprehensive Psychological Services LLC	SC	3500	10/28/2013	Theft	10	2013
Indiana Family & Social Services Administration	IN	187533	04/06/2013	Other	04	2013
Lucile Packard Children's Hospital	CA	12900	05/8/2013	Theft	05	2013
Spirit Home Health Care, Corp	FL	603	09/19/2013	Improper Disposal	09	2013
Southwest General Health Center	OH	953	04/13/2013 	Unknown	04	2013 
Piedmont HealthCare, P.A.	NC	1924	03/28/2013	Hacking/IT Incident	03	2013
Iowa Department of Human Services	IA	7335	04/30/2013	Loss, Unknown	04	2013
ACO of Puerto Rico	PR	5000	03/05/2013 	Theft	03	2013 
Tranquility Counseling Services	NC	1683	11/1/2013	Other	11	2013
DaVita, a division of DaVita HealthCare Partners Inc	CO	11500	09/6/2013	Theft, Other	09	2013
Dreyer Medical Clinic	IL	998	06/30/2013 	Hacking/IT Incident	06	2013 
The Guidance Center of Westchester	NY	1416	02/21/2013	Theft	02	2013
St. Vincent Hospital and Healthcare, Inc	IN	1142	12/23/2013	Theft	12	2013
Inspira Health Network Inc.	NJ	1411	12/23/2013	Theft	12	2013
HealthSource of Ohio Inc.	OH	8845	11/18/2013	Unauthorized Access/Disclosure, Other	11	2013
Olson & White Orthodontics	MO	10000	07/22/2013	Theft	07	2013
Lone Star Circle of Care	TX	1955	05/01/2013	Theft	05	2013
Jacksonville Spine Center	FL	5200	04/25/2013	Unauthorized Access/Disclosure	04	2013
St. Anthony's Physician Organization	MO	2600	07/29/2013	Theft	07	2013
Fairfax County, Virginia	VA	1499	09/09/2013 	Unauthorized Access/Disclosure	09	2013 
Maryland Developmental Disabilities Administration	MD	10766	11/27/2013	Unauthorized Access/Disclosure, Hacking/IT Incident	11	2013
Scottsdale Dermatology, LTD	AZ	1456	01/01/2013 	Theft	01	2013 
Parkview Community Hospital Medical Center	CA	32000	05/05/2013 	Other	05	2013 
Various Health Plans	AL	3164	04/14/2013	Theft	04	2013
COMPLETE MEDICAL HOMECARE	KS	1700	12/12/2013	Unauthorized Access/Disclosure	12	2013
Presbyterian Anesthesia Associates PA	NC	9988	04/1/2013	Hacking/IT Incident	04	2013
Ronald Schubert MD PLLC	WA	950	11/22/2013	Theft	11	2013
Aflac	GA	679	05/9/2013	Theft	05	2013
Lincoln County Health and Human Services/Lincoln Community Health Center	OR	959	04/17/2013	Unauthorized Access/Disclosure	04	2013
Gerdau Macsteel Health and Welfare Plan	MI	4837	09/27/2013	Theft	09	2013
Saint Louis University	MO	3100	07/25/2013	Unauthorized Access/Disclosure	07	2013
Hospice of the Chesapeake	MD	7606	08/9/2013	Unauthorized Access/Disclosure	08	2013
Health Care Solutions at Home Inc.	OH	1139	12/17/2013	Other	12	2013
Comprehensive Podiatry LLC	OH	1360	08/3/2013	Theft	08	2013
Orthopedics & Adult Reconstructive Surgery	TX	22000	03/01/2013 	Loss	03	2013 
WA State Department of Social & Health Services	WA	3104	08/19/2013	Unauthorized Access/Disclosure, Other	08	2013
North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  	NC	1315	08/13/2013	Unauthorized Access/Disclosure	08	2013
Foundations Recovery Network	TN	5690	06/15/2013	Theft	06	2013
Maine Medical Center	ME	1920	02/27/2013	Other	02	2013
BriovaRx	IL	1067	07/03/2013 	Unauthorized Access/Disclosure	07	2013 
Molina Healthcare of Texas, Inc.	TX	2826	10/1/2013	Other	10	2013
The Brookdale Hospital and Medical Center	NY	2700	05/24/2013	Loss	05	2013
Easter Seal Society of Superior California	CA	3026	12/10/2013	Theft	12	2013
United Home Care Services of Southwest Florida< LLC	FL	1318	01/8/2013	Theft	01	2013
Thomas L. Davis, Jr. DDS	OR	3269	02/12/2013	Theft	02	2013
Delta Dental of Pennsylvania	PA	14829	03/20/2013	Loss	03	2013
Mission City Community Network	CA	7800	05/31/2013	Theft	05	2013
Palm Beach County Health Department	FL	877	01/7/2013	Unauthorized Access/Disclosure	01	2013
Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute	PA	2350	03/18/2013	Theft, Unauthorized Access/Disclosure	03	2013
Sonoma Valley Hospital	CA	1386	02/14/2013	Other	02	2013
Beebe Medical Center	DE	1883	09/2/2013	Other	09	2013
Baylor All Saints Medical Center at Fort Worth	TX	940	05/07/2013	Unauthorized Access/Disclosure	05	2013
Urology Centers of Alabama PC and Urology Health Foundation	AL	1085	08/22/2013	Other	08	2013
Illinois Department of Healthcare and Familiy Services	IL	3133	05/8/2013	Other	05	2013
Medical Center of Plano	TX	1000	12/10/2013	Unauthorized Access/Disclosure	12	2013
James A. Fosnaugh	NE	2125	05/01/2013 	Loss	05	2013 
Walgreen Co.	IL	17350	09/18/2013 	Other	09	2013 
Region Ten Community Services Board	VA	10228	07/29/2013	Hacking/IT Incident	07	2013
Janna Benkelman LPC LLC	CO	1500	08/1/2013	Theft	08	2013
Greater Dallas Orthopaedics, PLLC	TX	5840	08/30/2013	Theft	08	2013
Kemmet Dental Design 	ND	2000	11/10/2013	Theft, Other	11	2013
Brazos Valley Pathology	TX	3300	12/16/2013	Hacking/IT Incident	12	2013
University of California Davis Medical Center	CA	2269	12/13/2013	Hacking/IT Incident	12	2013
Reimbursement Technologies, Inc.	PA	2300	05/01/2013 	Unauthorized Access/Disclosure	05	2013 
Texas Health Harris Methodist Hospital Fort Worth	TX	277014	05/11/2013	Improper Disposal	05	2013
Rob Meaglia, DDS	CA	1400	12/16/2013	Theft	12	2013
Puerto Rico Health Insurance Administration (PRHIA)	PR	13336	09/20/2013	Unauthorized Access/Disclosure	09	2013
Independence Care System	NY	2434	05/7/2013	Theft	05	2013
Valley View Hospital Association	CO	5415	09/11/2013	Other	09	2013
St. Joseph Health System 	TX	405000	12/16/2013	Hacking/IT Incident	12	2013
Seattle - King County Department of Public Health	WA	750	03/7/2013	Improper Disposal	03	2013
Bay Park Hospital	OH	594	04/1/2013	Unauthorized Access/Disclosure	04	2013
Memorial Hospital of Lafayette County	WI	4330	08/3/2013	Unauthorized Access/Disclosure	08	2013
Center for Pain Management, LLC	MD	5822	01/22/2013	Theft	01	2013
Union Security Insurance Company	MO	1127	05/17/2013	Improper Disposal	05	2013
Sierra View District Hospital	CA	1009	07/01/2013 	Unauthorized Access/Disclosure	07	2013 
Triple-S Salud 	PR	70189	09/20/2013	Unauthorized Access/Disclosure	09	2013
Health Resources of Arkansas	AR	1900	04/14/2013	Theft, Unauthorized Access/Disclosure	04	2013
Dermatology Associates of Tallahassee	FL	916	09/4/2013	Unknown	09	2013
Northside Hospital, Inc.	GA	4879	10/10/2013	Loss	10	2013
AHMC Healthcare Inc. and affiliated Hospitals	CA	729000	10/12/2013	Theft	10	2013
Saint Francis Hospital and Medical Center	CT	858	12/27/2013	Theft	12	2013
Indiana University Health Arnett	IN	10350	04/9/2013	Theft	04	2013
Puerto Rico Health Insurance 	PR	28413	09/20/2013	Theft	09	2013
Regional Medical Center	TN	1180	02/4/2013	Unauthorized Access/Disclosure	02	2013
CaroMont Medical Group	NC	1310	08/5/2013	Other	08	2013
Young Family Medicine Inc.	OH	2045	06/12/2013	Theft	06	2013
SIU HealthCare	IL	1891	09/13/2013 	Theft, Loss	09	2013 
Lancaster General Medical Group	PA	527	02/5/2013	Theft	02	2013
Medtronic, Inc.	MN	2764	03/28/2013	Loss	03	2013
MUSC Physicians & MUHA	SC	7120	06/30/2013	Hacking/IT Incident	06	2013
Paul G. Klein, DPM	NJ	2500	10/1/2013	Theft	10	2013
Wm. Jennings Bryan Dorn VAMC	SC	7405	02/11/2013	Loss	02	2013
Oregon Health & Science University	OR	1076	02/22/2013	Theft	02	2013
Ladies First Choice, Inc.	FL	2365	01/1/2013	Theft, Unauthorized Access/Disclosure	01	2013
Fayetteville VAMC	NC	1093	04/17/2013	Improper Disposal	04	2013
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY	MO	2546	08/16/2013	Unauthorized Access/Disclosure	08	2013
Hospital for Special Surgery	NY	937	03/19/2013	Theft	03	2013
University of Pennsylvania Health System	PA	3000	11/26/2013	Other	11	2013
Florida Department of Health	FL	2354	10/30/2013	Unauthorized Access/Disclosure	10	2013
Laboratory Corporation of America	NC	1580	03/15/2013	Theft	03	2013
Carol L. Patrick, Ph.D.	OH	517	08/08/2013	Theft	08	2013
Tennova Cardiology	TN	2777	10/21/2013	Theft	10	2013
Jones Chiropractic and Maximum Health	IN	1500	10/13/2013	Theft	10	2013
Texas Tech Unversity Health Sciences Center	TX	697	02/18/2013	Unauthorized Access/Disclosure	02	2013
University of California, San Francisco	CA	3553	09/9/2013	Theft	09	2013
Schuylkill Health System	PA	2810	08/7/2013	Theft	08	2013
Penn State Milton S Hershey Medical Center	PA	1801	09/13/2013	Other	09	2013
Unity Health Plans Insurance Corporation	WI	41437	12/12/2013	Loss	12	2013
Comfort Dental Marion and Kokomo	IN	5388	03/14/2013	Improper Disposal	03	2013
Presence St. Joseph's Medical Center	IL	836	10/22/2013	Other	10	2013
American Health Inc. 	PR	17776	01/1/2013	Theft	01	2013
Department of Health Care Policy & Financing	CO	1918	11/21/2013	Unauthorized Access/Disclosure	11	2013
Jeff Spiegel	MA	832	11/25/2013	Unauthorized Access/Disclosure	11	2013
Health Net, Inc.	CA	8331	04/01/2013 	Other	04	2013 
Wyoming Department of Health	WY	11935	10/16/2013	Unauthorized Access/Disclosure	10	2013
101 FAMILY MEDICAL GROUP	CA	2500	11/23/2013	Theft	11	2013
Kaiser Foundation Hospital- Orange County	CA	49000	09/25/2013	Loss	09	2013
NHC HealthCare, Mauldin	SC	4204	05/15/2013	Improper Disposal	05	2013
Triple-S Salud 	PR	5795	01/1/2013	Theft	01	2013
Mount SInai Medical Center	NY	1586	08/6/2013	Improper Disposal	08	2013
Care Advantage, Inc.	VA	3458	01/1/2013	Theft	01	2013
HOPE Family Health	TN	6932	08/4/2013	Theft	08	2013
Northrop Grumman Retiree Health Plan	VA	4305	05/20/2013	Theft	05	2013
County of San Bernardino, Department of Behavioral Health	CA	686	01/12/2013	Theft	01	2013
Delta Dental of Pennsylvania	PA	1674	10/16/2013	Loss	10	2013
Punuru J.M. Reddy, MD, Inc.	AL	1179	08/22/2013	Hacking/IT Incident	08	2013
Genesis Rehabilitation Services	PA	1167	08/30/2013	Loss	08	2013
The Kroger Co., for itself and its affiliates and subsidiaries	OH	504	10/30/2013	Other	10	2013
Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group	IL	4029530	07/15/2013	Theft	07	2013
Monarch Women's Health	AL	1145	08/22/2013	Hacking/IT Incident	08	2013
Gerdau Ameristeel Health and Welfare Plan	FL	3804	09/27/2013	Theft	09	2013
NHC HealthCare, Oak Ridge	TN	4268	05/10/2013	Loss	05	2013
Memorial Sloan-Kettering Cancer Center	NY	2279	08/1/2013	Loss	08	2013
Gulf Breeze Family Eyecare, Inc	FL	9626	03/08/2013	Theft, Unauthorized Access/Disclosure	03	2013
Rocky Mountain Spine Clinic, P.C.	CO	532	06/11/2013	Theft, Unauthorized Access/Disclosure	06	2013
Yellowstone Boys and Girls Ranch	MT	543	07/11/2013	Theft	07	2013
Delta Dental of Pennsylvania	PA	4718	05/13/2013	Loss	05	2013
Medical Mutual of Ohio	OH	1420	10/16/2013	Unauthorized Access/Disclosure	10	2013
Mount Sinai Medical Center	NY	610	08/1/2013	Loss	08	2013
Arizona Counseling & Treatment Services, LLC	AZ	3800	03/18/2013	Theft	03	2013
VA Dept. of Medical Assistance Services	VA	25513	11/15/2013	Unauthorized Access/Disclosure, Other	11	2013
City of Norwood	OH	9577	04/14/2013 	Loss	04	2013 
UnityPoint Health Affiliated Covered Entity (\UnityPoint\)	IA	1825	02/01/2013	Unauthorized Access/Disclosure	02	2013
Texas Health Care, P.L.L.C.	TX	554	03/10/2013	Theft	03	2013
Florida Digestive Health Specialists	FL	4400	03/06/2013 	Unauthorized Access/Disclosure	03	2013 
Rose Medical Center	CO	606	06/28/2013 	Improper Disposal	06	2013 
Schneck Medical Center	IN	3131	03/14/2013	Unauthorized Access/Disclosure	03	2013
Susquehanna Health	PA	657	12/5/2013	Unauthorized Access/Disclosure	12	2013
Superior HealthPlan, Inc.	TX	6284	10/4/2013	Other	10	2013
Integrity Oncology, an office of Baptist Medical Group	TN	539	03/5/2013	Other	03	2013
Mark A. Gillispie	CA	5845	11/20/2013	Theft	11	2013
Health Help, Inc.	KY	535	10/15/2013	Theft	10	2013
Partners In Nephrology & Endocrinology, P.C.	PA	5000	11/13/2013	Other	11	2013
Heyman HospiceCare at Floyd	GA	1819	01/4/2013	Theft	01	2013
Arkansas Department of Human Services	AR	1911	04/14/2013	Theft	04	2013
All for Kids Pediatric Clinic	AR	600	12/27/2013	Other	12	2013
Community Support Services, Inc.	OH	1167	03/20/2013	Theft	03	2013
Hospitalists of Arizona	AZ	1706	12/31/2013	Theft	12	2013
Administracion de Seguros de Salud	PR	46473	05/8/2013	Theft	05	2013
New Jersey Department of Human Services	NJ	9642	10/18/2013	Loss	10	2013
Atlanta Center for Reproductive Medicine	GA	654	07/12/2013	Other	07	2013
South Florida Neurology Associates, P.A.	FL	900	05/25/2013	Theft	05	2013
Multiple Health Plans	CA	1368	12/7/2013	Theft, Other	12	2013
Vitreo-Retinal Medical Group, Inc. 	CA	1837	06/5/2013	Theft	06	2013
Granger Medical Clinic	UT	2600	01/17/2013	Theft, Loss, Other	01	2013
Barnabas Health Medical Group	NJ	1100	09/24/2013	Theft	09	2013
United HomeCare Services, Inc.	FL	12299	01/8/2013	Theft	01	2013
John J. Pershing VA Medical Center	MO	589	02/20/2013	Theft	02	2013
Willis North America Inc. Medical Expense Benefit Plan	NY	4830	03/19/2014	Unauthorized Access/Disclosure	03	2014
Molina Healthcare of California Partner Plan, Inc.	CA	4744	03/18/2014	Other	03	2014
Baylor Regional Medical Center at Plano	TX	1981	01/23/2014	Hacking/IT Incident	01	2014
Humana Inc [case #15381]	KY	2962	04/2/2014	Theft	04	2014
Franciscan Medical Group	WA	8300	01/15/2014	Other	01	2014
Kmart Corporation	IL	16446	01/4/2014	Theft	01	2014
The Union Labor Life Insurance Company	MD	46771	02/17/2014	Theft	02	2014
McBroom Clinic, PA	TX	2260	01/9/2014	Loss, Improper Disposal	01	2014
Orlando Health, Inc.	FL	586	01/28/2014	Loss	01	2014
VGM Homelink	IA	1400	02/28/2014	Other	02	2014
Hospitalists of Brandon, LLC	FL	1831	02/11/2014	Hacking/IT Incident	02	2014
Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company 	MA	8830	04/10/2014	Theft	04	2014
Walgreen Co.	IL	540	03/3/2014	Theft	03	2014
Los Robles Hospital and Medical Center	CA	2523	02/14/2014	Theft, Unauthorized Access/Disclosure	02	2014
Palomar Health	CA	5499	02/21/2014	Theft	02	2014
Clinical Reference Laboratory, Inc.	KS	979	02/6/2014	Loss	02	2014
Blue Cross Blue Shield of Michigan/Blue Care Network	MI	502	02/15/2014	Unauthorized Access/Disclosure, Hacking/IT Incident	02	2014
State Long Term Care Ombudsman's Office, Michigan Department of Community Health	MI	2595	01/30/2014	Theft	01	2014
Todd M. Burton, M.D.	TX	5000	01/13/2014	Theft	01	2014
Group Health Plan of Hurley Medical Center	MI	2289	05/13/2014	Unauthorized Access/Disclosure	05	2014
County of Los Angeles	CA	338700	02/5/2014	Theft	02	2014
Joseph Michael Benson M.D	TX	7500	01/5/2014	Theft	01	2014
Midwest Orthopaedics at Rush, LLC	IL	1256	02/10/2014	Hacking/IT Incident	02	2014
Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry 	NY	6475	01/10/2014	Theft, Other	01	2014
Coordinated Health	PA	733	02/21/2014	Theft	02	2014
Greenwood Leflore Hospital	MS	3750	02/23/2014	Theft	02	2014
HealthTexas Provider Network	TX	2742	01/23/2014	Hacking/IT Incident	01	2014
Elliot Health System	NH	1208	03/26/2014	Theft	03	2014
Sorenson Communications/CaptionCall Group Health Plan	UT	9800	02/20/2014	Hacking/IT Incident	02	2014
Abrham Tekola, M.D.,INC	CA	5471	05/27/2014	Theft	05	2014
DeKalb Health	IN	1361	02/9/2014	Hacking/IT Incident	02	2014
Aetna Life Insurance Company	CT	3814	04/2/2014	Theft	04	2014
Texas Health and Human Services Commission	TX	2934	02/2/2014	Theft	02	2014
Banner Health	AZ	55207	02/21/2014	Other	02	2014
NOVA Chiropractic & Rehab Center	VA	5534	01/30/2014	Loss, Other	01	2014
Iowa Medicaid Enterprise	IA	862	02/26/2014	Unauthorized Access/Disclosure	02	2014
Baylor Medical Center at McKinney	TX	1253	01/23/2014	Hacking/IT Incident	01	2014
Larsen Dental Care LLC	ID	6900	03/4/2014	Theft	03	2014
Healthy Connections, Inc	CA	793	03/25/2014	Loss	03	2014
Bio-Reference Laboratories, Inc.	NJ	1749	02/2/2014	Other	02	2014
CENTURA HEALTH	CO	12286	02/11/2014	Hacking/IT Incident	02	2014
San Francisco General Hospital & Trauma Center	CA	55900	02/5/2014	Theft	02	2014
University of California, San Francisco	CA	9861	01/11/2014	Theft	01	2014
University of Kentucky UK HealthCare	KY	1079	02/4/2014	Theft	02	2014
Shaker Clinic	OH	617	02/18/2014	Loss	02	2014
Developmental Disabilities Administration	MD	2200	03/3/2014	Unauthorized Access/Disclosure	03	2014
St. Francis Hospital	GA	1175	05/30/2014	Other	05	2014
City of Cincinnati	OH	5696	04/4/2014	Other	04	2014
Jewish Hospital	KY	2992	01/15/2014	Other	01	2014
Santa Rosa Memorial Hospital 	CA	33702	06/2/2014	Theft, Loss	06	2014
Howard L. Weinstein D.P.M.	TX	1000	03/13/2014	Theft	03	2014
Salina Health Education Foundation dba Salina Family Healthcare Center	KS	9640	04/8/2014	Unauthorized Access/Disclosure	04	2014
Highmark Inc.	PA	2589	04/19/2014	Loss, Unauthorized Access/Disclosure	04	2014
Baylor Medical Center at Irving	TX	2308	01/23/2014	Hacking/IT Incident	01	2014
Various Health Plans	CT	527	03/5/2014	Loss	03	2014
City of Hope	CA	5400	02/5/2014	Theft	02	2014
